posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.18417,1.05442,-0.39342,0.15181,0.15627,-0.27686,0.40554,0.68637,0.78721,-0.24180,-0.64534,0.55589,-0.42022,-0.77208,-0.34190,-0.33227,2.67888,-1.31414,0.14386
-0.18204,1.05599,-0.39677,0.15189,0.14955,-0.26989,0.54605,0.70905,0.80455,0.32302,-0.48573,0.33738,-0.42003,-0.77380,-0.34743,-0.32264,3.69400,-1.56509,0.97033
-0.17981,1.05666,-0.39935,0.15239,0.13226,-0.25299,0.80723,0.70705,0.76974,-0.19080,-0.93801,1.05579,-0.42267,-0.77263,-0.35680,-0.31160,14.74705,0.73917,-3.12992
-0.17798,1.05755,-0.40197,0.14697,0.12180,-0.24001,0.90134,0.69270,0.75943,-0.48565,-0.69903,1.05892,-0.42321,-0.77290,-0.36329,-0.30255,9.40760,-0.00794,-1.60831
-0.17628,1.05863,-0.40473,0.14127,0.11555,-0.23178,0.87466,0.65080,0.74295,-0.61355,-0.70618,0.97643,-0.42241,-0.77392,-0.36744,-0.29598,2.54346,-2.36663,-0.97532
-0.17485,1.05908,-0.40695,0.13223,0.10296,-0.21733,0.69939,0.55469,0.64740,-0.44060,-0.80566,0.84662,-0.42135,-0.77506,-0.36755,-0.29438,-9.32837,-5.54084,-4.62661
-0.17320,1.05947,-0.40928,0.12808,0.09124,-0.20690,0.54822,0.48997,0.55136,-0.25766,-0.85180,0.65849,-0.42085,-0.77619,-0.36698,-0.29282,-11.87518,-5.49941,-6.89250
-0.17152,1.05969,-0.41147,0.12566,0.07849,-0.19684,0.45505,0.47402,0.44879,-0.18864,-0.81997,0.65243,-0.42177,-0.77697,-0.36630,-0.29027,-8.25013,-2.37980,-7.17195
-0.16981,1.06005,-0.41355,0.12422,0.06963,-0.18734,0.41252,0.50855,0.36428,-0.14260,-0.51273,0.78804,-0.42374,-0.77777,-0.36571,-0.28598,-4.83682,2.21199,-7.23576
-0.16824,1.06049,-0.41514,0.12074,0.06495,-0.17278,0.38117,0.55659,0.32193,-0.25030,-0.00490,0.96838,-0.42532,-0.77906,-0.36512,-0.28080,-2.41358,2.84911,-3.41934
-0.16689,1.06137,-0.41664,0.11522,0.06622,-0.15974,0.37221,0.58372,0.32845,-0.47477,0.26004,0.85669,-0.42578,-0.78060,-0.36558,-0.27519,-1.24345,1.81662,0.02151
-0.16568,1.06242,-0.41816,0.10892,0.06958,-0.14970,0.39885,0.62848,0.34456,-0.58752,0.40047,0.75691,-0.42657,-0.78205,-0.36669,-0.26827,0.93548,2.83160,1.05615
-0.16477,1.06378,-0.41948,0.09935,0.07696,-0.13864,0.36014,0.63661,0.33489,-0.60476,0.40942,0.88059,-0.42711,-0.78362,-0.36649,-0.26306,2.15153,2.72380,-0.70859
-0.16402,1.06531,-0.42079,0.08978,0.08441,-0.12951,0.21361,0.59308,0.35480,-0.66630,0.65172,0.69224,-0.42505,-0.78661,-0.36406,-0.26083,-12.85179,-5.13837,0.92907
