posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.03379,1.22384,-0.40691,0.05802,0.32383,-0.22625,0.54392,0.60613,-0.18254,0.12367,4.02295,-0.74615,-0.06326,-0.94183,0.00751,-0.33000,23.58484,-0.51636,-7.76586
-0.03307,1.23240,-0.41047,0.05583,0.39146,-0.23292,0.92912,0.54286,-0.23642,-0.65303,4.65224,-0.12705,-0.07125,-0.94242,-0.00573,-0.32671,24.70110,-2.47056,-6.08525
-0.03336,1.24172,-0.41366,0.03731,0.45751,-0.23181,1.35955,0.52089,-0.19684,-1.78551,4.83423,0.04938,-0.07807,-0.94306,-0.02323,-0.32250,26.10999,-4.58842,1.44900
-0.03427,1.25156,-0.41653,0.01330,0.51538,-0.22590,1.88572,0.62311,-0.21225,-2.18899,4.59911,0.31132,-0.08809,-0.94413,-0.04585,-0.31427,39.95856,3.31993,0.73922
-0.03579,1.26243,-0.41907,-0.01465,0.57582,-0.21573,2.43026,0.75464,-0.27370,-1.78191,4.07499,1.34718,-0.10104,-0.94465,-0.07221,-0.30367,44.13627,12.67538,-5.53341
-0.03737,1.27383,-0.42088,-0.03766,0.63176,-0.19586,2.81460,0.71422,-0.34572,-1.26774,3.08383,1.70218,-0.11404,-0.94301,-0.09737,-0.29706,25.85236,-1.43828,-5.58595
-0.03860,1.28432,-0.42275,-0.04939,0.65937,-0.18175,2.92168,0.61654,-0.37960,-1.15209,2.63900,1.56178,-0.12450,-0.94072,-0.11759,-0.29279,18.25527,-5.21679,-6.62716
-0.04076,1.29532,-0.42482,-0.07288,0.69515,-0.17044,2.91603,0.51742,-0.38645,-1.91331,2.22558,-0.00285,-0.13346,-0.93811,-0.13549,-0.28946,0.26046,-8.37375,-2.93676
-0.04400,1.30622,-0.42808,-0.10878,0.72395,-0.17855,2.81364,0.65924,-0.31418,-2.97164,2.22970,-1.07384,-0.13967,-0.93784,-0.15054,-0.27981,-4.02894,5.77310,4.51254
-0.04886,1.31788,-0.43237,-0.16371,0.75680,-0.20287,2.51349,0.87935,-0.08941,-3.64051,2.18596,-1.62401,-0.13957,-0.93984,-0.16051,-0.26732,-16.37039,11.41735,15.51907
-0.05412,1.33002,-0.43648,-0.21427,0.78340,-0.22434,2.15511,1.03909,0.17758,-3.45158,1.61852,-1.00897,-0.13586,-0.94248,-0.16782,-0.25518,-21.80977,10.96014,21.98201
-0.05934,1.34190,-0.44032,-0.25171,0.79935,-0.23615,1.76743,1.00539,0.41698,-2.86794,1.08585,-0.54458,-0.12954,-0.94451,-0.17251,-0.24772,-30.05050,-0.55818,22.19570
-0.06522,1.35380,-0.44370,-0.29114,0.81144,-0.23721,1.41597,0.94972,0.60658,-1.80422,0.14149,0.74452,-0.12245,-0.94655,-0.17571,-0.24119,-21.63783,-2.59701,13.89788
-0.07023,1.36534,-0.44665,-0.30717,0.81493,-0.23120,1.21278,0.83805,0.63426,-1.45623,0.02874,0.06685,-0.11900,-0.94724,-0.18005,-0.23700,-21.54378,-15.50501,7.22785
-0.07565,1.37659,-0.44914,-0.32613,0.81263,-0.21891,1.20801,0.92185,0.53479,-1.47959,-0.49585,1.01371,-0.12105,-0.94788,-0.18707,-0.22775,-4.08312,4.97971,-5.17804
-0.08139,1.38733,-0.45084,-0.34603,0.80263,-0.19635,1.33121,1.10900,0.37569,-1.17599,-0.85651,1.60202,-0.12697,-0.94818,-0.19664,-0.21486,6.20445,11.72436,-9.17319
-0.08712,1.39772,-0.45196,-0.36132,0.78861,-0.16875,1.42693,1.22920,0.28266,-0.85099,-1.09878,2.62071,-0.13196,-0.94813,-0.20655,-0.20242,7.22326,12.65413,-8.34174
-0.09273,1.40776,-0.45238,-0.37082,0.77238,-0.13661,1.42920,1.15560,0.26802,-0.49145,-1.56213,3.29435,-0.13395,-0.94748,-0.21547,-0.19471,2.39160,0.34954,-3.23201
-0.09800,1.41691,-0.45117,-0.37220,0.74542,-0.08494,1.38961,0.90219,0.24360,0.40881,-1.78837,3.63782,-0.13485,-0.94576,-0.22390,-0.19292,-2.27026,-14.50888,-1.86309
-0.10276,1.42593,-0.44930,-0.36459,0.72192,-0.03385,1.33138,0.54612,0.20393,0.44557,-1.44784,3.58565,-0.13520,-0.94315,-0.23201,-0.19587,-4.57906,-24.05269,-4.31950
-0.10786,1.43505,-0.44695,-0.36462,0.70580,0.01236,1.48019,0.42053,0.14103,0.18653,-1.36445,3.84441,-0.13857,-0.93978,-0.24487,-0.19401,8.33398,-12.70694,-6.72926
-0.11274,1.44394,-0.44394,-0.36117,0.69006,0.05806,1.66268,0.31218,0.01450,-0.34237,-1.00089,2.20333,-0.14433,-0.93527,-0.25915,-0.19307,7.51723,-17.12832,-7.94254
-0.11799,1.45257,-0.44072,-0.36465,0.67314,0.09720,1.99371,0.51460,-0.18805,-0.09169,-1.07477,2.30745,-0.15630,-0.93017,-0.27703,-0.18332,24.07895,16.34721,-12.70717
-0.12318,1.46136,-0.43803,-0.36630,0.66292,0.11910,2.05803,0.55528,-0.27174,0.01822,-0.70658,2.12722,-0.16417,-0.92595,-0.29029,-0.17722,11.17817,9.28283,-9.03102
-0.12864,1.47012,-0.43471,-0.37181,0.65454,0.14581,1.96299,0.44853,-0.24447,-0.45342,-0.29290,1.56298,-0.16752,-0.92246,-0.30059,-0.17508,-5.29641,-6.61765,0.13753
-0.13435,1.47915,-0.43145,-0.38013,0.65141,0.16519,1.81302,0.34028,-0.18718,-0.65785,-0.26555,1.40904,-0.16916,-0.91961,-0.30908,-0.17370,-8.60346,-6.83767,3.13186
-0.14035,1.48825,-0.42852,-0.39109,0.65045,0.17440,1.55609,0.19426,-0.08329,-0.97893,0.09085,0.32152,-0.16773,-0.91801,-0.31418,-0.17439,-16.70686,-12.55865,5.50070
-0.14696,1.49776,-0.42637,-0.40981,0.65614,0.16773,1.02676,0.04885,0.11292,-1.80651,0.41175,-1.35034,-0.16083,-0.91996,-0.31077,-0.17673,-34.77030,-13.97157,11.83220
-0.15391,1.50731,-0.42475,-0.42957,0.66164,0.15368,0.84080,0.33619,0.21583,-1.87150,0.70611,-2.12657,-0.15998,-0.92174,-0.31130,-0.16704,-23.73493,8.39566,11.24142
-0.16139,1.51711,-0.42364,-0.45319,0.66930,0.13489,0.76089,0.85328,0.28687,-1.75807,0.28406,-0.97003,-0.16246,-0.92428,-0.31199,-0.14822,-6.65368,38.04220,8.16857
