posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.11385,1.44599,-0.61767,-0.05832,0.01948,-0.05323,-0.15475,0.14886,0.14575,0.36337,0.03477,0.20820,-0.37508,-0.75945,-0.25341,-0.46726,-3.03885,0.32700,-1.56479
0.11342,1.44624,-0.61811,-0.05272,0.01970,-0.04843,-0.15980,0.14103,0.10343,0.34531,0.08805,0.41680,-0.37487,-0.76006,-0.25206,-0.46717,-1.42968,0.01158,-3.18306
0.11290,1.44664,-0.61834,-0.04994,0.02234,-0.04110,-0.12819,0.11530,0.10494,0.12235,0.34824,0.48160,-0.37425,-0.76050,-0.25216,-0.46690,1.78520,-2.25599,-0.85645
0.11239,1.44712,-0.61846,-0.04935,0.02674,-0.03521,-0.09859,0.09026,0.12724,0.06318,0.38458,0.47501,-0.37336,-0.76090,-0.25284,-0.46659,3.05971,-1.73479,1.69238
0.11187,1.44779,-0.61865,-0.04715,0.03224,-0.03025,-0.06778,0.08160,0.15253,0.20705,0.44430,0.21970,-0.37231,-0.76161,-0.25360,-0.46585,1.70536,-1.76885,1.62111
0.11125,1.44867,-0.61888,-0.04508,0.03820,-0.02590,0.02261,0.09847,0.19406,-0.00547,0.25297,0.28919,-0.37169,-0.76255,-0.25592,-0.46353,5.89548,1.16033,2.62587
0.11069,1.44931,-0.61906,-0.04443,0.04022,-0.02301,0.03154,0.09161,0.18731,0.04861,0.06091,0.36847,-0.37115,-0.76309,-0.25663,-0.46269,3.57311,0.44154,0.81319
0.11034,1.44979,-0.61911,-0.04277,0.04098,-0.01983,0.01855,0.08233,0.16890,0.05866,0.03865,0.14098,-0.37072,-0.76344,-0.25664,-0.46245,-1.28644,-1.29296,-1.20133
0.11000,1.45016,-0.61922,-0.04232,0.04078,-0.01864,-0.02768,0.06796,0.15192,0.03172,-0.06573,0.09615,-0.36994,-0.76386,-0.25597,-0.46275,-1.86492,-0.55694,-1.09349
0.10966,1.45053,-0.61941,-0.04038,0.03933,-0.01850,-0.07798,0.05876,0.12301,0.17913,-0.09282,-0.06705,-0.36923,-0.76433,-0.25487,-0.46315,-4.64408,-1.23537,-2.22887
0.10921,1.45103,-0.61968,-0.03856,0.03815,-0.01820,-0.07363,0.06811,0.11605,0.04957,-0.03659,0.02249,-0.36864,-0.76502,-0.25457,-0.46264,-0.33911,0.69668,-0.92069
0.10874,1.45151,-0.61986,-0.03859,0.03764,-0.01683,-0.04958,0.06603,0.12711,-0.04640,-0.04061,0.11294,-0.36799,-0.76557,-0.25498,-0.46204,1.60077,-0.10774,1.04142
0.10808,1.45208,-0.62003,-0.03978,0.03714,-0.01490,-0.02468,0.06148,0.14708,-0.11401,-0.02192,0.15905,-0.36705,-0.76625,-0.25572,-0.46124,2.24514,-0.28673,1.24636
0.10730,1.45269,-0.62020,-0.04177,0.03650,-0.01361,-0.02903,0.05641,0.16702,-0.14072,-0.11249,0.06122,-0.36561,-0.76718,-0.25619,-0.46058,0.41823,-0.71709,1.76663
0.10684,1.45299,-0.62033,-0.04188,0.03424,-0.01359,-0.03035,0.05910,0.16329,0.01069,-0.27451,-0.09979,-0.36497,-0.76771,-0.25628,-0.46015,-1.34957,-0.10371,0.19271
0.10645,1.45312,-0.62046,-0.04121,0.02946,-0.01363,-0.00204,0.06918,0.13478,-0.00833,-0.33785,0.03602,-0.36524,-0.76788,-0.25656,-0.45949,1.80000,0.99562,-1.56334
0.10603,1.45322,-0.62053,-0.04175,0.02479,-0.01272,0.02619,0.06525,0.11206,-0.06269,-0.36324,0.08494,-0.36545,-0.76790,-0.25699,-0.45905,1.56037,-0.24859,-1.77710
0.10583,1.45317,-0.62052,-0.04156,0.01948,-0.01149,0.02118,0.05025,0.07110,0.06925,-0.38027,0.15098,-0.36577,-0.76770,-0.25682,-0.45923,1.08696,-0.61734,-2.63395
0.10566,1.45316,-0.62054,-0.04063,0.01527,-0.01038,0.00888,0.03738,0.04166,0.07061,-0.32322,0.08032,-0.36589,-0.76762,-0.25666,-0.45935,-0.82046,-1.01559,-2.94408
0.10512,1.45325,-0.62063,-0.04096,0.01063,-0.00957,-0.04037,0.01570,0.00939,-0.02916,-0.26371,0.00925,-0.36575,-0.76770,-0.25616,-0.45962,-3.20897,-1.49542,-2.63085
0.10474,1.45329,-0.62070,-0.04172,0.00744,-0.00924,-0.01566,0.01116,-0.00405,-0.00790,-0.15888,-0.13899,-0.36585,-0.76766,-0.25610,-0.45964,-0.74795,-0.64090,-1.42009
0.10361,1.45349,-0.62094,-0.04260,0.00725,-0.00903,0.08757,0.02916,0.01461,-0.08463,0.17806,-0.13893,-0.36647,-0.76757,-0.25719,-0.45869,6.22055,0.94141,0.11199
