posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.29106,1.47565,-0.47969,-0.66257,0.61519,0.03970,1.96245,1.61663,0.88089,-0.20259,0.86812,3.35914,0.02808,-0.91489,-0.33016,-0.23059,4.46903,0.16408,-0.41853
-0.30047,1.48460,-0.47634,-0.66457,0.62305,0.08590,1.91235,1.45718,0.88091,0.04430,0.07150,2.48902,0.02852,-0.91206,-0.34302,-0.22285,-1.97331,-11.13015,-0.60630
-0.30954,1.49310,-0.47328,-0.66053,0.62058,0.11724,1.82381,1.40207,0.84969,0.43961,-0.45440,1.81418,0.02800,-0.90999,-0.35428,-0.21357,-5.85151,-6.45828,-2.00906
-0.31831,1.50111,-0.47005,-0.65220,0.60960,0.14229,1.70870,1.37344,0.82809,0.81632,-1.14674,1.76591,0.02768,-0.90831,-0.36427,-0.20377,-7.15277,-0.35764,-1.39267
-0.32678,1.50854,-0.46692,-0.64107,0.59149,0.15991,1.57385,1.28376,0.84461,1.24140,-1.81051,1.34406,0.02918,-0.90653,-0.37304,-0.19543,-10.35995,-6.54980,-0.13566
-0.33413,1.51454,-0.46366,-0.61278,0.55289,0.17642,1.36938,1.10833,0.86463,2.58986,-3.10997,0.80027,0.03261,-0.90510,-0.37912,-0.18973,-11.35871,-10.94862,1.74838
-0.34043,1.51980,-0.46091,-0.57321,0.51119,0.18121,1.20034,0.90823,0.79021,3.91999,-4.10460,0.08135,0.03449,-0.90353,-0.38419,-0.18667,-13.36545,-15.48857,-2.54854
-0.34527,1.52385,-0.45847,-0.52004,0.46035,0.17959,1.04730,0.79479,0.63803,4.88562,-4.66670,-0.53486,0.03356,-0.90260,-0.38784,-0.18377,-14.32893,-13.40642,-10.83449
-0.34737,1.52536,-0.45664,-0.43449,0.38019,0.16944,0.89450,0.67211,0.37764,5.72480,-5.33354,-0.92145,0.02932,-0.90206,-0.38965,-0.18333,-10.49959,-6.84663,-15.74070
-0.34846,1.52600,-0.45545,-0.35202,0.30494,0.15277,0.76675,0.58845,0.13548,5.99818,-5.46118,-1.49093,0.02393,-0.90167,-0.39104,-0.18306,-9.30357,-6.02150,-17.00915
-0.34960,1.52675,-0.45445,-0.29142,0.25009,0.13642,0.68374,0.56641,-0.03482,6.08354,-5.40916,-1.89685,0.01826,-0.90132,-0.39283,-0.18160,-9.55557,-3.46443,-16.88454
-0.34712,1.52434,-0.45499,-0.18594,0.15652,0.09965,0.53585,0.62733,-0.31942,5.54853,-5.03514,-2.23967,0.00791,-0.90246,-0.39140,-0.17977,-9.34988,4.42953,-15.98260
-0.34577,1.52283,-0.45547,-0.12149,0.09703,0.07114,0.42063,0.66228,-0.46148,5.28515,-4.76809,-2.35798,-0.00010,-0.90337,-0.39048,-0.17731,-8.41859,4.64102,-12.46090
-0.34371,1.52067,-0.45650,-0.06218,0.04239,0.04120,0.26146,0.56608,-0.56718,4.70884,-4.35310,-2.14276,-0.00627,-0.90448,-0.38746,-0.17821,-12.14987,-1.50717,-9.46189
-0.33995,1.51684,-0.45823,0.01243,-0.02898,0.00446,0.05092,0.38489,-0.64634,3.77524,-3.49673,-1.66001,-0.01055,-0.90598,-0.38201,-0.18209,-12.29790,-9.92007,-3.93427
-0.33701,1.51379,-0.45915,0.05820,-0.07300,-0.01138,-0.01277,0.28473,-0.66507,2.80217,-2.69627,-0.75469,-0.01474,-0.90649,-0.37961,-0.18429,-7.16193,-7.70597,-2.51444
-0.33437,1.51100,-0.45963,0.08815,-0.10208,-0.01628,-0.00788,0.21291,-0.65942,2.28514,-2.10934,-0.14278,-0.01873,-0.90637,-0.37881,-0.18612,-1.00707,-5.34975,0.23964
-0.33114,1.50793,-0.46004,0.12045,-0.12940,-0.01983,-0.02436,0.04123,-0.66565,1.75404,-1.33825,-0.42396,-0.02150,-0.90581,-0.37743,-0.19130,-1.51821,-12.12740,0.26723
-0.32801,1.50535,-0.46065,0.14373,-0.14258,-0.02629,-0.06607,-0.00701,-0.68411,1.48195,-0.59711,-0.60416,-0.02548,-0.90600,-0.37518,-0.19432,-2.40338,-4.41577,-1.10835
-0.32493,1.50318,-0.46147,0.16089,-0.14561,-0.03443,-0.12554,-0.03889,-0.71887,0.85934,0.15997,-0.64316,-0.02992,-0.90648,-0.37202,-0.19747,-4.46699,-3.34394,-2.73747
-0.32224,1.50159,-0.46220,0.16746,-0.13870,-0.03932,-0.15741,0.00104,-0.73586,-0.09245,0.88003,-0.17486,-0.03490,-0.90716,-0.36924,-0.19875,-2.83992,2.13951,-1.44933
-0.32038,1.50062,-0.46257,0.15831,-0.12304,-0.03718,-0.15405,0.00333,-0.67197,-1.10202,1.65192,0.48223,-0.03772,-0.90743,-0.36770,-0.19986,0.79156,2.29463,2.38111
-0.31945,1.50043,-0.46250,0.13609,-0.09777,-0.02778,-0.13525,-0.03090,-0.51795,-2.00151,2.11642,0.96217,-0.03736,-0.90743,-0.36721,-0.20082,0.00442,-2.38897,9.61254
-0.31947,1.50086,-0.46179,0.10331,-0.06807,-0.01008,-0.05407,-0.07662,-0.30648,-2.67175,2.27284,1.40580,-0.03462,-0.90668,-0.36910,-0.20125,3.88805,-4.05174,14.40166
-0.32071,1.50196,-0.46089,0.07051,-0.04167,0.00747,0.05014,-0.08629,-0.09917,-2.72492,2.24713,1.34885,-0.03075,-0.90582,-0.37232,-0.19982,8.28802,-1.73740,16.91293
-0.32137,1.50306,-0.45958,0.03274,-0.00781,0.02624,0.16987,-0.07879,0.09714,-2.04999,1.82549,0.95959,-0.02697,-0.90427,-0.37700,-0.19859,8.23525,0.43027,14.22876
-0.32223,1.50448,-0.45851,0.00928,0.01733,0.03594,0.22736,-0.08011,0.16784,-1.51099,1.50241,0.47077,-0.02467,-0.90304,-0.38039,-0.19801,4.69136,-0.07182,6.74860
-0.32301,1.50583,-0.45775,-0.00605,0.03501,0.03928,0.24583,-0.05519,0.16468,-1.10241,1.31339,0.06907,-0.02417,-0.90229,-0.38254,-0.19736,2.03880,1.29005,1.39820
-0.32402,1.50767,-0.45704,-0.02186,0.05675,0.04096,0.27250,0.02351,0.11630,-1.09629,1.25723,0.18869,-0.02571,-0.90173,-0.38466,-0.19559,0.76604,5.18231,-3.20808
-0.32535,1.50950,-0.45611,-0.04026,0.07395,0.04572,0.33041,0.11473,0.07571,-1.24136,0.92139,0.24736,-0.02784,-0.90089,-0.38774,-0.19308,3.65210,5.21462,-2.46772
-0.32671,1.51109,-0.45521,-0.05451,0.08309,0.04914,0.38370,0.19043,0.05846,-1.14627,0.70243,0.31357,-0.02973,-0.89997,-0.39114,-0.19020,4.03592,6.79433,-1.29695
-0.32841,1.51273,-0.45427,-0.07042,0.09078,0.05296,0.44842,0.28326,0.04205,-1.13331,0.37015,0.15856,-0.03227,-0.89894,-0.39513,-0.18641,4.52018,5.58374,-1.44921
-0.33022,1.51420,-0.45339,-0.08452,0.09377,0.05411,0.49197,0.36559,0.02559,-0.88302,0.01941,-0.02696,-0.03504,-0.89798,-0.39896,-0.18229,4.31396,7.49350,-1.01992
