posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.15215,1.50414,-0.52508,-0.40823,0.22494,0.07098,0.55767,0.35209,1.59984,2.21821,0.22095,-0.26455,0.47323,-0.75452,-0.30273,-0.33928,-0.73545,-5.84259,-16.55001
-0.15555,1.50782,-0.52423,-0.36892,0.23570,0.07125,0.54209,0.50829,1.13727,2.96555,0.97604,-0.12228,0.46822,-0.75703,-0.30764,-0.33621,-1.56481,6.80287,-27.16814
-0.15832,1.51222,-0.52319,-0.32760,0.25611,0.07422,0.50153,0.82983,0.64277,3.15521,1.82542,0.24800,0.45865,-0.76359,-0.31325,-0.32931,-4.59263,23.04960,-33.23862
-0.16072,1.51724,-0.52203,-0.29067,0.28160,0.07817,0.49402,1.03236,0.21661,2.92065,2.40756,0.72417,0.44771,-0.77024,-0.31829,-0.32400,-5.36395,22.74751,-35.70465
-0.16230,1.52351,-0.52034,-0.24872,0.32209,0.08975,0.57189,1.07730,-0.26930,1.92507,2.68093,1.30913,0.43309,-0.77712,-0.32211,-0.32366,1.81294,6.33482,-31.89094
-0.16480,1.53009,-0.51776,-0.23197,0.35958,0.11496,0.75697,1.02459,-0.52866,-0.02365,2.28662,2.15057,0.42070,-0.78025,-0.32862,-0.32593,9.18621,-2.60942,-20.51616
-0.16831,1.53611,-0.51481,-0.23628,0.37737,0.13899,0.92803,0.99176,-0.55552,-0.95981,1.70852,2.78525,0.41170,-0.78079,-0.33762,-0.32693,13.02885,-3.37159,-10.02136
-0.17303,1.54249,-0.51000,-0.26006,0.39671,0.18833,1.26747,0.98212,-0.48850,-2.07461,1.01100,3.24396,0.40233,-0.77808,-0.35238,-0.32947,21.28735,-3.55956,1.53037
-0.17878,1.54856,-0.50461,-0.29559,0.40704,0.23658,1.52903,1.13942,-0.35204,-2.90103,0.74853,3.28200,0.39325,-0.77553,-0.36990,-0.32725,20.58543,6.37471,8.27352
-0.18569,1.55463,-0.49854,-0.34230,0.41469,0.28493,1.70096,1.43517,-0.14413,-3.74431,0.60409,3.29439,0.38482,-0.77328,-0.38980,-0.31939,15.57875,18.01274,14.19244
-0.19333,1.56065,-0.49229,-0.38998,0.41913,0.32404,1.79786,1.67261,0.10836,-4.26133,0.39794,3.28888,0.37852,-0.77001,-0.40990,-0.30950,11.17911,19.97313,19.58814
-0.20237,1.56660,-0.48535,-0.44846,0.42177,0.36522,1.89982,1.76016,0.44953,-4.26880,0.18834,3.09923,0.37622,-0.76339,-0.43083,-0.30012,9.74283,9.52280,24.28063
-0.21254,1.57265,-0.47793,-0.51317,0.42538,0.40544,2.01211,1.58184,0.82433,-3.94195,0.19992,2.46922,0.37879,-0.75256,-0.45045,-0.29540,10.47835,-11.43439,22.00222
-0.22241,1.57864,-0.47071,-0.55773,0.42674,0.43172,2.08218,1.37454,1.07001,-3.54890,-0.00053,2.08833,0.38135,-0.74148,-0.46824,-0.29244,9.39790,-19.10474,18.79860
-0.23327,1.58448,-0.46290,-0.60749,0.42561,0.46133,2.11951,1.20603,1.31977,-3.58525,-0.25379,1.95941,0.38560,-0.72937,-0.48585,-0.28860,6.13571,-17.13275,15.12547
-0.24485,1.58979,-0.45463,-0.65790,0.41565,0.49179,2.14706,1.14167,1.60188,-3.56261,-1.07174,2.15279,0.39079,-0.71638,-0.50470,-0.28171,3.70669,-7.56324,17.84553
-0.25694,1.59443,-0.44595,-0.70516,0.39675,0.52089,2.18272,1.05459,1.88320,-3.27899,-1.54276,2.03056,0.39755,-0.70164,-0.52370,-0.27458,4.61875,-6.95728,19.70070
-0.26943,1.59854,-0.43713,-0.74857,0.37381,0.54585,2.21550,0.94524,2.14721,-2.94418,-1.75164,1.56092,0.40562,-0.68538,-0.54234,-0.26756,6.15815,-10.44961,17.21553
-0.28223,1.60210,-0.42821,-0.78709,0.34683,0.56677,2.20734,0.87195,2.38909,-2.52028,-2.21334,1.31631,0.41439,-0.66878,-0.56030,-0.25898,1.68621,-7.42910,17.11132
-0.29532,1.60462,-0.41900,-0.82224,0.30789,0.58632,2.20391,0.73780,2.61299,-1.91363,-2.75228,1.22920,0.42473,-0.65063,-0.57724,-0.25116,0.89446,-9.55420,13.76732
-0.30819,1.60645,-0.40984,-0.84620,0.26628,0.60123,2.23544,0.58395,2.75904,-1.47909,-3.37991,0.91765,0.43461,-0.63147,-0.59359,-0.24499,4.42948,-11.64899,9.08045
-0.32095,1.60721,-0.40077,-0.86274,0.21632,0.61223,2.31205,0.41846,2.87592,-0.90447,-3.83008,0.71750,0.44462,-0.61049,-0.60993,-0.23999,6.63430,-11.44796,7.18911
-0.33357,1.60700,-0.39169,-0.87310,0.16190,0.61985,2.41274,0.25208,2.96758,-0.49076,-4.12287,0.25513,0.45465,-0.58793,-0.62604,-0.23603,9.77120,-11.56564,4.24905
-0.34595,1.60571,-0.38287,-0.87690,0.10202,0.62131,2.47332,0.11685,3.09370,-0.03167,-4.35471,-0.14977,0.46563,-0.56428,-0.64151,-0.23074,7.42410,-9.99457,7.25857
-0.35803,1.60394,-0.37437,-0.87505,0.04927,0.61770,2.53357,-0.03558,3.18475,0.26233,-4.57003,-0.49154,0.47691,-0.53954,-0.65590,-0.22638,6.76259,-11.47572,6.18199
-0.36971,1.59996,-0.36635,-0.86778,-0.02803,0.60560,2.57184,-0.24997,3.32604,0.77777,-5.16722,-1.00619,0.49083,-0.51261,-0.66859,-0.22205,5.21255,-13.74671,7.02285
-0.38087,1.59589,-0.35862,-0.85306,-0.08886,0.59227,2.66048,-0.41876,3.36613,1.70130,-5.08520,-1.19069,0.50276,-0.48503,-0.68104,-0.21947,6.46862,-13.29622,4.65170
-0.39075,1.59078,-0.35104,-0.82796,-0.15180,0.57551,2.71904,-0.52276,3.36349,2.02435,-4.03822,-1.53071,0.51328,-0.45775,-0.69279,-0.21691,10.44373,-8.50284,-2.38678
-0.39804,1.58492,-0.34288,-0.78626,-0.21493,0.55586,2.59414,-0.45135,3.39231,2.64845,-3.66581,-1.70026,0.52222,-0.43417,-0.70374,-0.20865,-5.45986,0.82112,0.93201
-0.40549,1.57937,-0.33511,-0.74856,-0.25882,0.53947,2.45244,-0.36631,3.42855,3.21432,-3.55988,-1.30554,0.53065,-0.41135,-0.71399,-0.19854,-18.04819,4.73246,5.45718
-0.41273,1.57327,-0.32878,-0.70223,-0.29976,0.51567,2.42978,-0.36419,3.32358,3.46930,-2.65658,-1.79137,0.53738,-0.38808,-0.72335,-0.19334,-1.58388,1.61132,-5.07521
-0.41949,1.56706,-0.32310,-0.65340,-0.33268,0.49156,2.37080,-0.34340,3.17734,3.70832,-2.17113,-1.82417,0.54284,-0.36669,-0.73162,-0.18865,-2.92096,0.81332,-11.11399
-0.42493,1.56036,-0.31791,-0.59310,-0.36664,0.46427,2.28692,-0.28687,3.01039,3.82681,-2.13044,-1.58553,0.54683,-0.34709,-0.73940,-0.18380,-7.30422,3.65328,-9.55908
-0.43044,1.55388,-0.31265,-0.54796,-0.38917,0.44461,2.32844,-0.26600,2.84961,3.82123,-1.84306,-1.46752,0.54989,-0.32535,-0.74754,-0.18154,-0.50897,4.49069,-11.80287
-0.43452,1.54702,-0.30784,-0.48990,-0.41270,0.42197,2.40997,-0.19750,2.63598,3.47462,-1.18789,-1.41112,0.55019,-0.30408,-0.75624,-0.18146,5.67804,6.82017,-13.29665
-0.43819,1.54015,-0.30319,-0.43657,-0.43173,0.40125,2.42771,-0.11464,2.47827,3.15102,-1.12608,-1.31287,0.55013,-0.28368,-0.76452,-0.17999,-0.16716,6.68782,-9.06932
-0.44214,1.53336,-0.29858,-0.40056,-0.44497,0.38459,2.39253,-0.06590,2.39738,2.76656,-1.01243,-1.56021,0.55083,-0.26344,-0.77191,-0.17703,-0.77472,6.33578,-7.62438
-0.44542,1.52621,-0.29454,-0.36243,-0.46082,0.36279,2.30324,-0.03707,2.36274,2.53582,-1.11495,-1.65555,0.55210,-0.24406,-0.77838,-0.17249,-6.64380,2.43772,-3.29586
-0.44815,1.51860,-0.29105,-0.32335,-0.48101,0.33636,2.16725,-0.00935,2.38394,2.35821,-1.35130,-1.70071,0.55381,-0.22533,-0.78425,-0.16571,-8.21826,0.30560,0.81435
-0.45100,1.51089,-0.28758,-0.29540,-0.49815,0.31578,2.07099,0.00539,2.43814,2.25883,-1.48324,-1.76282,0.55565,-0.20564,-0.78991,-0.15812,-9.01724,-0.38440,3.95195
-0.45329,1.50280,-0.28476,-0.26523,-0.51733,0.28965,2.02509,-0.00292,2.50313,2.05416,-1.33537,-1.82847,0.55764,-0.18474,-0.79516,-0.15042,-5.15147,-1.42096,4.89539
-0.45543,1.49469,-0.28227,-0.23959,-0.53225,0.26410,2.04153,0.01119,2.51741,1.73377,-0.96159,-1.84763,0.55827,-0.16322,-0.80056,-0.14422,0.82926,0.53070,1.19688
-0.45739,1.48654,-0.28028,-0.21674,-0.54450,0.23607,2.02253,-0.00270,2.55534,1.48533,-0.68450,-2.30528,0.55950,-0.14175,-0.80505,-0.13699,0.09554,-0.20002,1.95733
-0.45918,1.47848,-0.27903,-0.19656,-0.55241,0.20222,1.93133,-0.06718,2.59128,1.33744,-0.38474,-2.57185,0.56219,-0.12165,-0.80785,-0.12857,-4.12732,-5.40221,2.85158
-0.46074,1.47049,-0.27844,-0.17706,-0.55735,0.16541,1.82935,-0.14235,2.60613,1.54515,-0.35325,-2.81573,0.56532,-0.10245,-0.80965,-0.11995,-7.32719,-6.30717,0.24489
-0.46171,1.46251,-0.27869,-0.15229,-0.56088,0.12313,1.75901,-0.21500,2.62982,1.94350,-0.11035,-3.25937,0.56852,-0.08274,-0.81092,-0.11117,-4.09736,-6.03899,0.61540
-0.46213,1.45479,-0.27984,-0.12410,-0.55927,0.07578,1.62617,-0.32816,2.70386,1.95979,0.61085,-3.58026,0.57333,-0.06367,-0.81072,-0.09989,-5.88678,-8.27605,3.35926
-0.46212,1.44778,-0.28170,-0.09553,-0.54631,0.02770,1.42059,-0.49139,2.74389,2.09555,1.37952,-3.38062,0.58011,-0.04710,-0.80846,-0.08740,-11.33854,-14.05156,3.39596
-0.46178,1.44157,-0.28405,-0.06807,-0.52316,-0.01739,1.23130,-0.64710,2.69710,2.01383,1.90111,-3.15281,0.58727,-0.03260,-0.80513,-0.07619,-13.20729,-13.56018,-2.89596
-0.46116,1.43623,-0.28696,-0.04225,-0.49086,-0.06123,1.14205,-0.77556,2.52022,1.93770,2.53218,-3.02831,0.59396,-0.01920,-0.80127,-0.06931,-6.64567,-10.65999,-11.20249
-0.46015,1.43214,-0.29060,-0.01556,-0.44494,-0.10770,1.11296,-0.88831,2.19820,1.61230,3.09867,-2.78075,0.60039,-0.00800,-0.79680,-0.06761,0.37703,-5.67147,-20.61128
-0.45903,1.42856,-0.29426,0.00718,-0.40047,-0.14437,1.08592,-0.97812,1.91349,1.69860,3.29542,-2.50419,0.60680,0.00246,-0.79205,-0.06660,-0.00275,-5.74961,-21.48565
-0.45772,1.42540,-0.29797,0.02726,-0.36016,-0.17257,1.07568,-1.02778,1.68176,1.66085,3.45858,-2.22329,0.61268,0.01275,-0.78746,-0.06610,0.47332,-3.38397,-20.34240
-0.45582,1.42375,-0.30225,0.05271,-0.30401,-0.20372,1.00615,-1.11463,1.43538,1.44531,3.79783,-1.87055,0.61975,0.02048,-0.78173,-0.06622,-0.95732,-3.15148,-16.45525
-0.45387,1.42259,-0.30634,0.07318,-0.25187,-0.22484,0.88483,-1.20681,1.22192,1.49698,3.79610,-1.24575,0.62759,0.02623,-0.77534,-0.06550,-7.40638,-8.22739,-16.25092
-0.45175,1.42228,-0.31038,0.09191,-0.19774,-0.24025,0.79664,-1.24356,0.99804,1.29448,4.00418,-0.97210,0.63456,0.03091,-0.76941,-0.06623,-4.41071,-1.87824,-16.45686
-0.44958,1.42230,-0.31426,0.10669,-0.15163,-0.24904,0.67684,-1.27668,0.82407,1.18140,3.79140,-0.55912,0.64175,0.03419,-0.76330,-0.06606,-7.55165,-2.80318,-16.03406
-0.44713,1.42328,-0.31815,0.12232,-0.10126,-0.25587,0.54893,-1.30332,0.66756,1.08253,3.49633,-0.46952,0.64903,0.03607,-0.75706,-0.06572,-8.48313,-1.82778,-12.77672
-0.44448,1.42508,-0.32207,0.13803,-0.04811,-0.26170,0.43404,-1.33374,0.48963,0.91078,3.12689,-0.18691,0.65657,0.03658,-0.75045,-0.06632,-6.93160,-2.42350,-11.68050
-0.44189,1.42682,-0.32583,0.14924,-0.00758,-0.26364,0.33624,-1.35783,0.35419,0.67157,2.68542,-0.06714,0.66403,0.03696,-0.74381,-0.06666,-5.59661,-1.02624,-11.00890
-0.43936,1.42849,-0.32945,0.15675,0.02167,-0.26274,0.28126,-1.36616,0.25224,0.64078,2.15582,0.25805,0.67121,0.03773,-0.73724,-0.06730,-5.17984,-2.36475,-9.05172
-0.43663,1.43059,-0.33275,0.16578,0.05129,-0.25671,0.26190,-1.29671,0.16524,0.64603,1.53512,0.55186,0.67662,0.03866,-0.73210,-0.06864,-1.36600,3.51608,-6.31681
-0.43369,1.43239,-0.33595,0.17643,0.06929,-0.25044,0.21729,-1.26036,0.16972,0.75235,1.07441,0.39220,0.68230,0.04039,-0.72680,-0.06781,-1.56587,4.55256,-1.50309
-0.43059,1.43399,-0.33909,0.18717,0.07983,-0.24477,0.16202,-1.24898,0.20857,0.96515,0.73897,0.43657,0.68834,0.04239,-0.72117,-0.06566,-4.73692,0.64901,2.23386
-0.42690,1.43585,-0.34208,0.20532,0.09238,-0.23778,0.12011,-1.24005,0.27200,0.98197,0.68764,0.41416,0.69430,0.04507,-0.71553,-0.06272,-2.89943,0.18319,3.60800
-0.42323,1.43780,-0.34510,0.21934,0.10399,-0.23275,0.14586,-1.22252,0.30005,1.15077,0.95210,0.47204,0.69987,0.04856,-0.70996,-0.06149,1.01147,1.03606,1.82166
-0.41941,1.44002,-0.34790,0.23248,0.11706,-0.22515,0.16264,-1.14944,0.31138,1.20080,1.26938,0.75007,0.70417,0.05171,-0.70556,-0.06049,1.78646,3.87095,1.42221
-0.41513,1.44282,-0.35037,0.24992,0.13676,-0.21400,0.13058,-1.07580,0.34559,1.37890,1.73458,0.81998,0.70806,0.05442,-0.70166,-0.05808,-0.95683,6.01441,2.25731
-0.41040,1.44631,-0.35252,0.27081,0.16337,-0.20005,0.05095,-0.98200,0.37999,1.60978,2.13554,1.18077,0.71129,0.05602,-0.69855,-0.05439,-5.38115,4.78003,1.71106
-0.40547,1.45058,-0.35429,0.29007,0.19688,-0.18311,-0.06608,-0.87038,0.42465,1.14630,2.96903,1.14230,0.71366,0.05680,-0.69645,-0.04921,-7.00735,9.81169,3.17000
-0.40057,1.45608,-0.35568,0.30444,0.24331,-0.16364,-0.36455,-0.85202,0.38139,0.71896,4.11190,1.46099,0.71783,0.05172,-0.69307,-0.04121,-17.11112,2.44658,-1.83012
-0.39594,1.46294,-0.35653,0.31095,0.30132,-0.13984,-0.81507,-0.91271,0.26780,0.26302,4.68677,1.67103,0.72386,0.04030,-0.68811,-0.03006,-29.59272,-3.00530,-8.98555
-0.39133,1.47078,-0.35717,0.31558,0.36127,-0.11844,-1.22652,-0.97029,0.11836,0.65126,5.46349,2.03290,0.73010,0.02596,-0.68259,-0.01856,-35.03920,-8.89465,-11.39703
-0.38656,1.48154,-0.35687,0.32169,0.45530,-0.08636,-1.66567,-0.86302,-0.11525,0.23966,6.20961,1.93929,0.73304,0.00624,-0.68012,-0.00714,-25.94571,5.79279,-17.52202
-0.38174,1.49320,-0.35661,0.32732,0.54383,-0.06238,-2.11312,-0.92337,-0.32148,0.41999,6.58969,1.41103,0.73840,-0.01596,-0.67414,0.00631,-31.87053,-2.46175,-15.83936
