posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.02649,1.23548,-0.49991,-0.16453,0.21353,-0.05862,-0.55474,-0.15578,0.91676,-0.52790,-0.97846,0.16209,0.27441,-0.85771,0.02769,-0.43390,-3.69653,-4.74473,4.34339
-0.02910,1.23781,-0.50051,-0.17073,0.20286,-0.05615,-0.58714,-0.15566,0.86788,-0.40607,-0.63044,0.12457,0.28072,-0.85570,0.02997,-0.43368,-2.44872,-1.22385,-2.82090
-0.03189,1.24025,-0.50094,-0.17889,0.19669,-0.05108,-0.56789,-0.15833,0.83215,-0.67632,-0.27185,0.44698,0.28649,-0.85367,0.03121,-0.43381,-0.04677,-0.31156,-2.69803
-0.03493,1.24286,-0.50118,-0.19016,0.19547,-0.04337,-0.46097,-0.09121,0.79890,-0.89146,0.02248,0.41206,0.29112,-0.85256,0.02973,-0.43302,5.49675,2.22347,-0.99087
-0.03822,1.24573,-0.50134,-0.20243,0.19888,-0.03620,-0.29974,0.04662,0.75720,-1.07491,0.36772,0.57418,0.29431,-0.85280,0.02570,-0.43065,11.43687,10.37362,-4.16477
-0.04194,1.24889,-0.50125,-0.21894,0.20641,-0.02607,-0.03576,0.24381,0.69191,-0.96069,0.49486,0.60380,0.29499,-0.85455,0.01782,-0.42709,15.54053,12.48194,-3.67913
-0.04550,1.25217,-0.50124,-0.22886,0.21442,-0.01975,0.16816,0.39370,0.59871,-0.76116,0.74851,0.44869,0.29451,-0.85661,0.01037,-0.42353,16.57656,13.44975,-6.78965
-0.04914,1.25577,-0.50121,-0.23737,0.22571,-0.01457,0.38945,0.51877,0.50356,-0.57977,0.89999,0.41770,0.29247,-0.85905,0.00133,-0.42011,15.71723,12.24275,-7.85023
-0.05268,1.25958,-0.50131,-0.24208,0.23762,-0.01298,0.56743,0.57395,0.40791,-0.23467,0.84131,-0.12776,0.28971,-0.86106,-0.00727,-0.41784,12.60185,3.86902,-6.55680
-0.05615,1.26362,-0.50173,-0.24510,0.25134,-0.01771,0.76773,0.71916,0.20899,-0.09905,0.80924,-0.61519,0.28312,-0.86520,-0.01675,-0.41352,11.85206,8.85862,-11.04646
-0.05954,1.26772,-0.50239,-0.24555,0.26253,-0.02526,0.92027,0.86647,0.03597,0.05784,1.04560,-0.75081,0.27586,-0.86984,-0.02631,-0.40815,11.76596,13.22552,-14.30800
-0.06270,1.27234,-0.50369,-0.24137,0.27952,-0.04206,1.03994,0.98120,-0.13837,0.30800,1.28030,-1.23000,0.26735,-0.87472,-0.03553,-0.40265,8.65093,9.31929,-12.11807
-0.06577,1.27709,-0.50523,-0.23724,0.29444,-0.05907,1.03550,0.97230,-0.22192,0.15658,1.53637,-1.33302,0.26124,-0.87803,-0.04211,-0.39881,1.19958,3.09369,-9.03716
-0.06901,1.28223,-0.50701,-0.23713,0.31200,-0.07543,0.99292,0.90487,-0.21137,-0.30419,1.75150,-1.19890,0.25755,-0.87999,-0.04804,-0.39621,-3.16563,-4.05617,-2.10781
-0.07284,1.28821,-0.50906,-0.24691,0.33947,-0.09223,0.96803,0.75137,-0.08425,-0.96576,1.91305,-0.85089,0.25696,-0.87975,-0.05476,-0.39626,-2.30531,-9.73136,6.41546
-0.07712,1.29457,-0.51091,-0.26228,0.36791,-0.10226,1.02379,0.62149,0.07601,-1.21447,2.18939,-0.67879,0.25710,-0.87871,-0.06407,-0.39706,2.35784,-10.41243,10.16377
-0.08161,1.30131,-0.51270,-0.27706,0.39523,-0.10882,1.12817,0.55764,0.18452,-1.23818,2.19813,-0.65323,0.25613,-0.87795,-0.07518,-0.39743,7.50325,-8.27731,10.12516
-0.08665,1.30891,-0.51476,-0.29772,0.43082,-0.11791,1.29835,0.62250,0.25488,-1.29382,2.17749,-0.81197,0.25353,-0.87826,-0.08942,-0.39545,10.82369,1.82552,4.90285
