posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.24436,1.61454,-0.51951,-0.00538,0.14148,0.14676,0.68033,0.35869,0.01979,-1.84333,3.44008,2.53375,0.12990,-0.94695,-0.25795,-0.14096,18.53885,24.37106,-8.47910
-0.24647,1.61951,-0.51491,-0.03536,0.18449,0.18110,0.94866,0.51828,0.01826,-2.32685,2.99067,2.62012,0.12585,-0.94434,-0.27230,-0.13508,19.06641,13.16361,-1.82694
-0.24927,1.62476,-0.50972,-0.06885,0.22300,0.21844,1.24428,0.67500,0.05285,-2.43584,2.62339,2.70550,0.12234,-0.94061,-0.28951,-0.12831,20.50815,10.08307,2.03580
-0.25247,1.63013,-0.50393,-0.10129,0.25504,0.25658,1.53214,0.82532,0.09656,-2.12626,1.96054,2.79451,0.11878,-0.93601,-0.30857,-0.12066,21.91417,12.38791,2.94669
-0.25547,1.63520,-0.49829,-0.12413,0.27645,0.28465,1.70204,0.80051,0.15412,-1.60782,1.77802,2.35274,0.11759,-0.93097,-0.32513,-0.11728,17.95674,4.28188,3.61519
-0.25888,1.64096,-0.49223,-0.14800,0.30349,0.31367,1.80935,0.65843,0.22071,-1.32451,1.47434,1.66802,0.11849,-0.92541,-0.34017,-0.11770,7.80533,-9.44269,2.91764
-0.26203,1.64658,-0.48626,-0.16367,0.32318,0.33576,1.87509,0.61688,0.21198,-1.10498,1.27770,1.25117,0.11675,-0.92045,-0.35445,-0.11623,4.89502,-7.16171,0.14574
-0.26523,1.65242,-0.48009,-0.17696,0.34233,0.35652,1.96475,0.89043,0.11042,-1.11660,1.26387,0.98867,0.10846,-0.91634,-0.37059,-0.10591,5.43846,12.51666,-4.73119
-0.26858,1.65846,-0.47371,-0.18955,0.36086,0.37779,2.04478,1.38295,-0.02236,-0.80458,1.43052,1.81525,0.09514,-0.91274,-0.38768,-0.08701,5.54888,37.60112,-4.75989
-0.27197,1.66460,-0.46713,-0.19990,0.37675,0.39725,2.10134,1.51883,-0.06419,-0.68709,1.37879,2.29767,0.08667,-0.90764,-0.40368,-0.07565,4.71553,25.21916,-2.73879
-0.27575,1.67105,-0.45990,-0.21368,0.39378,0.42236,2.13351,1.41135,-0.07557,-1.07759,1.18896,2.08649,0.08168,-0.90177,-0.41838,-0.07134,2.13499,-5.83250,-2.39638
-0.28014,1.67774,-0.45140,-0.23386,0.41228,0.46266,2.17863,1.16976,-0.04842,-1.03257,1.14102,2.74958,0.07975,-0.89491,-0.43323,-0.07139,2.37292,-10.83671,-0.43167
-0.28457,1.68451,-0.44264,-0.25085,0.42823,0.49909,2.22188,0.82982,-0.00681,-1.37754,1.14693,2.73952,0.08036,-0.88727,-0.44785,-0.07568,3.37196,-23.79740,-1.14541
-0.28928,1.69134,-0.43347,-0.26836,0.44107,0.53228,2.27503,0.61711,0.02902,-1.66990,1.05664,2.58772,0.08042,-0.87918,-0.46308,-0.07829,3.92878,-23.04513,-1.11697
