posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.00341,1.33708,-0.46159,-0.33892,0.16481,-0.20637,-0.94741,-0.56852,1.02061,2.62162,-1.39292,2.11045,0.14118,-0.89469,-0.13268,-0.40248,1.74728,-18.56719,-15.03466
-0.00620,1.33836,-0.46224,-0.30682,0.14820,-0.17015,-0.69433,-0.55648,0.68979,2.02941,-1.32520,2.41616,0.13863,-0.89343,-0.13205,-0.40636,16.35393,-3.60325,-22.49024
-0.00908,1.33899,-0.46210,-0.28333,0.12507,-0.12787,-0.32368,-0.31007,0.34969,1.19365,-1.55743,2.46466,0.13080,-0.89470,-0.13596,-0.40487,23.37706,13.80797,-21.33199
-0.01224,1.33934,-0.46191,-0.26957,0.10240,-0.09418,-0.03249,-0.06225,0.10878,0.94986,-1.46392,2.38946,0.12326,-0.89653,-0.14046,-0.40165,22.60085,19.87915,-18.90758
-0.01524,1.33954,-0.46160,-0.25642,0.08226,-0.06671,0.14672,0.05717,-0.07253,0.92470,-1.20248,1.90820,0.11661,-0.89762,-0.14359,-0.40008,14.77775,10.64107,-13.55635
-0.01808,1.33979,-0.46124,-0.24373,0.06793,-0.04426,0.26363,0.13467,-0.24052,0.86056,-0.81159,1.47136,0.10952,-0.89866,-0.14573,-0.39896,8.51856,5.03516,-11.82023
-0.02100,1.34012,-0.46065,-0.23538,0.05820,-0.02348,0.37917,0.24381,-0.37747,0.38187,-0.54227,1.42050,0.10165,-0.90015,-0.14862,-0.39661,8.44190,7.37899,-10.67757
-0.02422,1.34055,-0.46008,-0.23445,0.05222,-0.00840,0.43555,0.31633,-0.43759,-0.15477,-0.19913,1.23842,0.09531,-0.90148,-0.15119,-0.39419,7.07542,8.06617,-7.40076
-0.02794,1.34119,-0.45957,-0.24191,0.05170,0.00265,0.33820,0.24379,-0.36147,-0.72448,0.50057,0.70401,0.09442,-0.90162,-0.15106,-0.39415,-3.89007,-0.94936,2.52434
-0.03204,1.34230,-0.45941,-0.25403,0.05901,0.00522,0.15049,0.02997,-0.21443,-1.03239,0.71009,0.06745,0.09802,-0.90010,-0.14840,-0.39773,-13.32970,-14.47160,10.16103
-0.03645,1.34362,-0.45946,-0.26842,0.06755,0.00357,-0.00824,-0.14116,-0.06178,-1.31023,0.74586,-0.39539,0.10306,-0.89835,-0.14575,-0.40137,-13.68642,-15.85510,12.34009
-0.04159,1.34535,-0.45987,-0.29150,0.08123,-0.00296,-0.14664,-0.23940,0.07695,-1.52039,0.84440,-0.63033,0.10883,-0.89694,-0.14297,-0.40400,-10.23220,-7.97919,9.81502
-0.04673,1.34706,-0.46022,-0.30911,0.09135,-0.00724,-0.22193,-0.27915,0.12178,-1.29270,1.02788,-0.47125,0.11231,-0.89603,-0.14039,-0.40598,-8.74057,-4.43143,4.75708
-0.05196,1.34959,-0.46045,-0.32394,0.11212,-0.00872,-0.10983,-0.13674,0.07299,-0.86680,1.34433,-0.10986,0.11065,-0.89680,-0.14204,-0.40413,4.96171,8.01716,-1.82646
-0.05715,1.35234,-0.46070,-0.33522,0.13204,-0.00988,0.07216,0.03589,-0.01159,-0.80199,1.57364,-0.29884,0.10620,-0.89810,-0.14602,-0.40102,13.10457,12.42053,-5.87166
-0.06246,1.35561,-0.46123,-0.34594,0.15580,-0.01535,0.18818,0.16676,-0.08391,-0.81194,1.80381,-0.18351,0.10182,-0.89948,-0.14925,-0.39786,9.87018,11.93691,-5.80632
-0.06793,1.35931,-0.46166,-0.35664,0.18099,-0.01830,0.30545,0.16835,-0.16913,-0.85034,1.90567,-0.04964,0.09679,-0.89956,-0.15251,-0.39769,7.04354,1.48827,-4.95240
-0.07397,1.36465,-0.46212,-0.37509,0.22960,-0.02102,0.53880,0.23788,-0.25713,-1.30895,3.54001,-0.38433,0.08919,-0.89976,-0.15934,-0.39633,11.69185,2.83936,-6.57602
-0.08019,1.36987,-0.46259,-0.39206,0.26378,-0.02363,0.73385,0.34822,-0.24576,-1.90033,3.44183,-0.65159,0.08331,-0.90026,-0.16782,-0.39298,16.16357,7.57456,-0.55068
-0.08775,1.37708,-0.46354,-0.42675,0.32208,-0.03387,1.29108,1.05842,-0.27559,-2.20912,3.63792,-1.46178,0.06858,-0.90550,-0.18863,-0.37388,33.53289,34.44530,0.29618
-0.09567,1.38467,-0.46463,-0.46007,0.37393,-0.04428,1.77533,1.82169,-0.29898,-2.44798,4.13089,-0.10911,0.05173,-0.91187,-0.21121,-0.34814,39.51273,62.16098,-2.64176
-0.10424,1.39364,-0.46599,-0.49701,0.43813,-0.05676,1.96330,2.05119,-0.11340,-2.36586,4.39507,-0.07414,0.04419,-0.91430,-0.23016,-0.33035,18.35905,20.73584,10.95558
-0.11276,1.40265,-0.46740,-0.52478,0.48939,-0.06591,1.88828,1.92063,0.07620,-2.53195,4.54536,-0.47469,0.04228,-0.91466,-0.24285,-0.32038,-1.19405,-7.93334,14.47147
-0.12234,1.41313,-0.46890,-0.56330,0.55326,-0.07337,1.83737,1.84018,0.31579,-2.94887,4.72059,-0.76289,0.04294,-0.91467,-0.25656,-0.30938,-3.75702,-13.28515,15.90832
-0.13309,1.42509,-0.47011,-0.61303,0.62704,-0.07463,1.92460,1.98490,0.56363,-3.22501,4.51437,0.19829,0.04261,-0.91514,-0.27444,-0.29220,6.34504,6.91924,16.29898
-0.14413,1.43727,-0.47088,-0.65671,0.68896,-0.06762,2.04154,2.13173,0.73831,-3.16511,4.30901,0.60281,0.04102,-0.91502,-0.29327,-0.27394,8.72715,8.66520,13.41342
-0.15547,1.44973,-0.47143,-0.69426,0.73961,-0.05884,2.16825,2.35680,0.85604,-3.25986,4.29671,0.61326,0.03782,-0.91483,-0.31292,-0.25247,11.42114,12.86730,10.85655
-0.16798,1.46352,-0.47144,-0.74176,0.79894,-0.04370,2.28461,2.64934,1.03423,-3.57113,4.28751,1.63595,0.03575,-0.91436,-0.33376,-0.22644,9.79005,23.04983,12.52308
-0.18180,1.47830,-0.47043,-0.80041,0.86289,-0.01459,2.36127,2.77104,1.30878,-3.69277,3.94186,2.49174,0.03825,-0.91206,-0.35485,-0.20190,7.14695,8.06558,16.52958
-0.19561,1.49285,-0.46884,-0.84526,0.90721,0.01681,2.36663,2.70173,1.55865,-3.77386,3.65201,3.31717,0.04370,-0.90839,-0.37426,-0.18122,5.60897,-2.74336,18.61390
-0.21061,1.50815,-0.46578,-0.89846,0.95231,0.06454,2.36461,2.43180,1.88853,-3.85068,2.92165,3.97611,0.05518,-0.90250,-0.39398,-0.16504,5.51087,-19.60769,20.42503
-0.22652,1.52351,-0.46131,-0.95440,0.98824,0.12419,2.39203,2.12517,2.23583,-4.30649,2.43244,4.61826,0.07014,-0.89480,-0.41446,-0.15046,6.30127,-25.87953,20.03962
-0.24430,1.53899,-0.45467,-1.02969,1.01836,0.20743,2.57988,1.97956,2.72313,-5.28861,1.62914,5.37512,0.08892,-0.88395,-0.43996,-0.13100,16.44896,-15.34487,25.19056
-0.26323,1.55397,-0.44679,-1.10792,1.03220,0.29250,2.83533,2.02907,3.23488,-5.94266,0.50006,6.50892,0.10859,-0.87056,-0.46825,-0.10523,21.02394,1.76749,32.29165
-0.28366,1.56793,-0.43732,-1.19232,1.02515,0.38314,3.09511,1.89633,3.81946,-5.87490,-1.40832,6.81998,0.13478,-0.85299,-0.49764,-0.08124,25.11303,-5.13561,37.40580
-0.30498,1.58023,-0.42704,-1.27169,0.99176,0.46581,3.25819,1.43432,4.39841,-5.19749,-3.40307,5.87091,0.16890,-0.83201,-0.52447,-0.06449,25.38571,-29.12279,35.61868
