posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.01484,1.54638,-0.65135,-0.37228,0.63730,0.12534,1.33718,0.61325,1.16508,-1.20490,-0.33539,1.02304,-0.15579,-0.89917,-0.37681,-0.15885,8.12493,7.86132,2.26874
-0.02061,1.55448,-0.64942,-0.38536,0.62907,0.13595,1.32524,0.59724,1.16706,-0.59659,-0.88681,1.02165,-0.15130,-0.89758,-0.38562,-0.15084,1.99799,1.94987,1.24232
-0.02610,1.56225,-0.64726,-0.38979,0.61558,0.14687,1.27047,0.51473,1.11140,-0.29103,-1.14948,0.80237,-0.14728,-0.89583,-0.39319,-0.14559,-4.93940,-7.15698,-3.18144
-0.03149,1.56931,-0.64495,-0.38998,0.59507,0.15873,1.26453,0.50109,1.00983,0.18379,-1.69769,0.91954,-0.14549,-0.89356,-0.40116,-0.13949,-0.16997,-1.15036,-6.56631
-0.03644,1.57587,-0.64257,-0.38262,0.57150,0.17044,1.23808,0.45573,0.83311,0.63775,-1.73947,0.92810,-0.14582,-0.89091,-0.40824,-0.13548,-1.72655,-1.50591,-10.97263
-0.04113,1.58218,-0.64003,-0.37229,0.54680,0.17899,1.21774,0.43983,0.60684,0.83173,-1.66670,0.34917,-0.14871,-0.88791,-0.41479,-0.13210,-2.69722,-1.71278,-15.55258
-0.04537,1.58842,-0.63770,-0.35577,0.52755,0.18304,1.21417,0.54170,0.33698,1.23159,-1.16903,0.15376,-0.15545,-0.88471,-0.42075,-0.12684,0.07184,5.81028,-17.99401
-0.04938,1.59482,-0.63542,-0.33937,0.51537,0.18521,1.19751,0.67237,0.07686,0.98190,-0.51069,0.23102,-0.16426,-0.88154,-0.42579,-0.12087,-2.59955,12.58315,-18.93976
-0.05369,1.60170,-0.63293,-0.33227,0.51264,0.18760,1.15975,0.79284,-0.10734,0.10274,0.33578,0.21873,-0.17286,-0.87866,-0.43011,-0.11438,-2.86900,9.15290,-14.51798
-0.05877,1.60920,-0.63024,-0.33960,0.52037,0.19201,1.10765,0.91893,-0.16166,-0.97424,1.06200,0.49226,-0.17956,-0.87645,-0.43398,-0.10611,-3.87546,9.23871,-5.62733
-0.06487,1.61759,-0.62676,-0.36317,0.54232,0.21007,1.18177,1.16731,-0.10655,-1.95487,1.98926,1.78104,-0.18590,-0.87361,-0.44012,-0.09242,2.10517,13.14049,3.28803
-0.07168,1.62671,-0.62163,-0.39414,0.57040,0.25058,1.44838,1.41702,0.00321,-2.44856,2.34197,3.82495,-0.19195,-0.86830,-0.45117,-0.07524,16.26835,18.96119,7.11682
-0.07924,1.63638,-0.61474,-0.43040,0.60072,0.31142,1.76633,1.52494,0.11948,-2.37296,2.02668,5.01004,-0.19642,-0.86100,-0.46544,-0.05891,24.16402,10.54435,8.34399
-0.08679,1.64613,-0.60703,-0.45722,0.62479,0.37044,1.98253,1.49027,0.17077,-1.92431,1.75377,5.17686,-0.20016,-0.85313,-0.47957,-0.04597,21.31598,0.71787,4.35332
-0.09482,1.65644,-0.59762,-0.48544,0.65259,0.44446,2.09462,1.31102,0.18377,-1.57602,1.47164,4.39042,-0.20236,-0.84525,-0.49316,-0.03742,9.37607,-10.55382,-0.82920
-0.10284,1.66674,-0.58830,-0.50658,0.67390,0.50000,2.11737,1.23155,0.18074,-1.65200,1.45953,3.50845,-0.20535,-0.83809,-0.50463,-0.02809,1.11115,-9.82946,-1.87435
-0.11093,1.67699,-0.57898,-0.52381,0.68899,0.54141,2.16913,1.30411,0.20340,-1.39168,1.11408,3.18313,-0.20946,-0.83044,-0.51602,-0.01489,3.81855,2.38158,1.29344
-0.11921,1.68747,-0.56857,-0.54065,0.70378,0.58970,2.20127,1.43106,0.21209,-0.81290,0.69740,2.80207,-0.21469,-0.82256,-0.52660,-0.00003,2.19531,7.42675,1.95721
-0.12716,1.69779,-0.55816,-0.54809,0.71220,0.62660,2.18465,1.55423,0.20046,-0.32231,0.35538,2.58338,-0.22064,-0.81485,-0.53582,0.01496,-0.38270,9.55538,0.85718
-0.13498,1.70790,-0.54791,-0.55141,0.71501,0.65119,2.14852,1.60684,0.19499,-0.25974,0.16682,2.47579,-0.22593,-0.80725,-0.54449,0.02886,-3.39694,6.92632,0.10000
-0.14296,1.71784,-0.53627,-0.55633,0.71414,0.69441,2.11426,1.69009,0.21345,-0.29060,-0.24341,2.49069,-0.23125,-0.79960,-0.55248,0.04407,-2.64527,4.73990,1.75216
-0.15108,1.72732,-0.52458,-0.56253,0.70521,0.72912,2.14472,1.70748,0.25435,-0.52014,-0.88519,2.50189,-0.23518,-0.79088,-0.56190,0.05894,1.99358,3.03088,2.89204
-0.15942,1.73641,-0.51280,-0.57098,0.69231,0.75674,2.16321,1.67117,0.33225,-0.63741,-1.29462,2.19067,-0.23715,-0.78227,-0.57134,0.07333,2.98978,-2.25843,4.43567
