posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.28256,1.24824,-0.39709,-0.66530,0.40148,-0.15058,0.04914,0.58704,0.59551,-0.96107,-0.59187,-0.70826,-0.23286,-0.80901,-0.07925,-0.53385,2.17166,-1.39204,-5.34183
0.27255,1.25353,-0.39979,-0.67984,0.39592,-0.16123,0.28362,0.66222,0.53745,-1.07960,-0.37606,-1.20644,-0.23504,-0.81232,-0.08464,-0.52699,13.39161,3.30526,-5.13163
0.26226,1.25886,-0.40292,-0.69498,0.39241,-0.17671,0.56194,0.78059,0.46836,-1.11562,-0.17172,-1.12032,-0.23950,-0.81608,-0.09161,-0.51793,20.01231,9.56958,-5.47237
0.25160,1.26427,-0.40629,-0.71343,0.39127,-0.19222,0.83015,0.84526,0.38292,-1.86708,-0.09180,-1.09236,-0.24548,-0.81897,-0.09954,-0.50904,17.72956,6.47090,-6.28395
0.24042,1.27018,-0.40986,-0.73600,0.39931,-0.20754,1.07844,0.95375,0.34964,-1.05655,1.29218,-0.83211,-0.25167,-0.82250,-0.10870,-0.49834,21.91767,4.81554,-6.98251
0.22903,1.27694,-0.41373,-0.75745,0.42103,-0.22448,1.13068,0.96683,0.42008,-1.55456,1.54100,-1.22106,-0.25337,-0.82600,-0.11656,-0.48984,4.43883,-0.85802,3.68027
0.20645,1.29011,-0.42139,-0.78084,0.44255,-0.24385,1.12948,0.99500,0.49281,-1.72851,1.58032,-1.49443,-0.25578,-0.83309,-0.13002,-0.47289,1.61555,1.71917,5.40670
0.19409,1.29770,-0.42650,-0.80381,0.46361,-0.26766,1.09193,1.04855,0.56505,-1.61553,1.41840,-1.79787,-0.25500,-0.83780,-0.13615,-0.46317,-2.25180,2.73561,5.54664
0.18135,1.30554,-0.43225,-0.82735,0.48413,-0.29621,1.05450,1.12196,0.62810,-1.40766,1.14781,-1.71828,-0.25406,-0.84296,-0.14189,-0.45249,-1.40499,4.72216,4.70878
0.16864,1.31329,-0.43836,-0.84740,0.50013,-0.32490,0.98113,1.17380,0.67411,-1.25236,0.82282,-1.87134,-0.25252,-0.84800,-0.14635,-0.44240,-4.86515,2.26886,3.55442
0.15581,1.32083,-0.44486,-0.86479,0.50953,-0.35479,0.95108,1.25402,0.68069,-1.02078,0.29933,-1.97200,-0.25237,-0.85308,-0.15081,-0.43107,-1.61764,4.72970,1.48881
0.14320,1.32793,-0.45160,-0.87490,0.51008,-0.38274,0.95565,1.35700,0.62735,-0.59808,-0.24805,-2.12660,-0.25432,-0.85797,-0.15479,-0.41864,-1.59152,6.27661,-2.22965
0.13078,1.33458,-0.45906,-0.88042,0.50346,-0.41646,1.07628,1.54676,0.45912,-0.29323,-0.44542,-1.81894,-0.26147,-0.86253,-0.15910,-0.40294,4.41159,11.39946,-8.85211
0.11830,1.34125,-0.46608,-0.88489,0.49809,-0.43666,1.22543,1.68575,0.32225,-0.41444,-0.33405,-1.12680,-0.26936,-0.86633,-0.16490,-0.38694,9.93325,12.05475,-10.10808
0.10564,1.34793,-0.47306,-0.89166,0.49452,-0.45116,1.27782,1.74246,0.20840,-0.54585,-0.11537,-0.73809,-0.27643,-0.86950,-0.16943,-0.37263,4.73386,6.77190,-8.67783
0.09286,1.35471,-0.47991,-0.89862,0.49344,-0.46011,1.28384,1.76772,0.13963,-0.56567,0.00301,-0.61294,-0.28248,-0.87252,-0.17342,-0.35893,0.33784,2.91236,-6.63289
0.07990,1.36153,-0.48683,-0.90685,0.49319,-0.46811,1.23585,1.78247,0.05364,-0.47913,0.01057,-0.27336,-0.28872,-0.87531,-0.17570,-0.34585,-2.51960,1.86002,-5.01747
0.06700,1.36842,-0.49355,-0.91254,0.49454,-0.47092,1.19531,1.78224,-0.01376,-0.36229,0.31384,-0.15272,-0.29478,-0.87777,-0.17791,-0.33311,-4.93800,-0.14511,-4.36699
0.05406,1.37566,-0.50000,-0.91719,0.50120,-0.46860,1.23168,1.81382,-0.03618,-0.43533,0.93173,0.36449,-0.30095,-0.88022,-0.18188,-0.31870,-0.12665,2.93849,-3.55828
0.04064,1.38380,-0.50577,-0.92879,0.52117,-0.45572,1.34187,1.82922,0.02149,-0.85457,1.61447,1.08774,-0.30594,-0.88246,-0.18887,-0.30331,6.83571,0.97079,1.65984
0.02701,1.39245,-0.51110,-0.94143,0.54567,-0.43837,1.44191,1.81333,0.10654,-0.88019,2.01479,1.38673,-0.30972,-0.88444,-0.19687,-0.28824,7.74816,-1.38200,5.00065
0.01339,1.40131,-0.51630,-0.95036,0.56671,-0.42350,1.51513,1.80158,0.18106,-0.89606,2.23345,1.61687,-0.31306,-0.88628,-0.20486,-0.27300,7.41449,-1.59729,5.57737
-0.00079,1.41152,-0.52015,-0.96619,0.60540,-0.39041,1.60006,1.73483,0.30970,-0.79761,2.02980,2.16731,-0.31434,-0.88782,-0.21488,-0.25845,7.18419,-3.37581,6.40527
-0.01474,1.42150,-0.52395,-0.97488,0.63247,-0.36334,1.57292,1.63254,0.40127,-0.54245,1.84564,1.84381,-0.31465,-0.88929,-0.22261,-0.24620,-0.13463,-8.31071,6.04143
-0.02863,1.43173,-0.52753,-0.98043,0.65700,-0.33873,1.58027,1.58017,0.47448,-0.35856,1.73308,1.63459,-0.31515,-0.89061,-0.23074,-0.23293,-0.38243,-5.62280,4.88450
-0.04251,1.44187,-0.53100,-0.98533,0.67826,-0.31509,1.61104,1.55856,0.53667,-0.39218,1.43154,1.70838,-0.31571,-0.89172,-0.23935,-0.21878,2.81223,-2.11334,4.33630
-0.05636,1.45208,-0.53408,-0.98927,0.69759,-0.28877,1.68784,1.56840,0.57503,-0.20002,1.19633,1.52856,-0.31694,-0.89230,-0.24889,-0.20348,3.87046,-0.52444,2.79093
