posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.04779,1.42958,-0.52957,-0.52204,0.44151,-0.24340,1.04941,0.82020,0.59233,-0.43451,0.52984,-0.47254,-0.32103,-0.85142,-0.32259,-0.26068,-9.18897,-3.73553,0.58564
0.04001,1.43638,-0.53305,-0.52880,0.45072,-0.24938,0.99256,0.86053,0.60029,-0.43942,0.63744,-0.50715,-0.32089,-0.85276,-0.32631,-0.25170,-5.66056,1.39686,0.89553
0.03207,1.44325,-0.53643,-0.53675,0.45854,-0.25310,1.02150,0.92299,0.61034,-0.68742,0.53150,-0.33180,-0.32150,-0.85358,-0.33148,-0.24119,1.38358,4.41821,0.94716
0.02396,1.45009,-0.53983,-0.54605,0.46445,-0.25552,1.07910,0.99803,0.61793,-0.85901,0.44774,-0.31378,-0.32258,-0.85412,-0.33721,-0.22958,3.34108,5.17916,0.67783
0.01548,1.45705,-0.54334,-0.56017,0.47109,-0.25810,1.15466,1.11499,0.61922,-0.92864,0.38396,-0.04908,-0.32449,-0.85455,-0.34309,-0.21618,5.39140,7.70347,0.76461
0.00679,1.46409,-0.54667,-0.57472,0.47725,-0.25742,1.17513,1.17647,0.62471,-1.14008,0.41030,0.20219,-0.32576,-0.85502,-0.34833,-0.20371,2.62087,5.21526,0.04991
-0.00198,1.47108,-0.54999,-0.58708,0.48171,-0.25570,1.14277,1.19400,0.63987,-1.20236,0.41704,0.28373,-0.32612,-0.85576,-0.35266,-0.19223,-1.13891,3.24414,1.12811
-0.01139,1.47838,-0.55302,-0.60701,0.49012,-0.25015,1.04056,1.19282,0.67893,-1.24500,0.58742,0.50397,-0.32511,-0.85738,-0.35531,-0.18155,-6.31035,-0.16863,2.61903
-0.02106,1.48574,-0.55567,-0.62638,0.49715,-0.24002,0.96654,1.18593,0.72036,-1.44877,0.43337,0.84324,-0.32376,-0.85891,-0.35815,-0.17085,-5.69761,-1.11797,3.47455
-0.03101,1.49309,-0.55798,-0.64637,0.50257,-0.22640,0.91385,1.16163,0.74659,-1.43814,0.31326,0.98725,-0.32233,-0.86015,-0.36119,-0.16061,-3.29559,-2.03991,2.87188
