posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.05871,1.17526,-0.64978,-0.98104,0.37611,-0.24776,-0.34967,0.82060,1.54003,1.72212,-2.18300,3.44673,-0.15989,-0.94764,0.07144,-0.26704,8.50774,-9.75208,-8.47038
-0.07062,1.17854,-0.65033,-0.95076,0.34288,-0.19659,-0.05866,0.73740,1.24604,1.86818,-2.24541,2.66292,-0.15890,-0.94933,0.06598,-0.26302,16.39987,-5.86015,-16.35093
-0.08192,1.18132,-0.65111,-0.91702,0.30962,-0.15889,0.32622,0.79717,0.81302,2.08077,-2.07367,1.90340,-0.16417,-0.95120,0.05858,-0.25462,21.98092,3.96906,-27.35266
-0.09317,1.18414,-0.65229,-0.89062,0.28447,-0.13838,0.54912,0.88379,0.49438,2.82924,-2.41075,2.02111,-0.16888,-0.95315,0.05282,-0.24533,23.24150,9.38517,-30.40321
-0.10351,1.18613,-0.65304,-0.85433,0.25062,-0.11567,0.74545,1.02248,0.11735,2.45125,-1.82974,1.63482,-0.17720,-0.95478,0.04772,-0.23391,6.17645,6.36609,-22.12280
-0.11315,1.18821,-0.65331,-0.81310,0.22561,-0.08948,0.73606,0.96533,-0.02661,3.17083,-1.76991,2.34261,-0.18124,-0.95576,0.04466,-0.22732,6.43328,2.88609,-16.14255
-0.13341,1.19318,-0.65449,-0.77917,0.20743,-0.06977,0.70603,0.94278,-0.10629,2.50179,-1.19898,1.09026,-0.18568,-0.95836,0.03896,-0.21342,-7.78625,-6.17707,-4.31018
-0.14098,1.19494,-0.65428,-0.73216,0.19312,-0.04959,0.67186,0.89725,-0.15759,2.52375,-0.73815,1.05971,-0.18875,-0.95909,0.03685,-0.20773,-2.23552,-2.41102,-2.81437
-0.14909,1.19744,-0.65422,-0.70216,0.19378,-0.03371,0.84736,0.96802,-0.24012,2.19725,0.66347,1.09250,-0.19435,-0.96043,0.02934,-0.19733,9.30156,5.19688,-6.53971
-0.15702,1.20106,-0.65392,-0.67584,0.21097,-0.01784,1.11680,1.04192,-0.28261,1.54526,1.88972,0.98569,-0.20013,-0.96187,0.01764,-0.18556,16.19364,4.09822,-5.05345
-0.16532,1.20618,-0.65319,-0.65988,0.24690,0.00125,1.55250,1.19983,-0.29155,1.19184,2.32877,1.57314,-0.20655,-0.96372,-0.00068,-0.16906,31.41167,12.87604,-4.70810
-0.17339,1.21094,-0.65256,-0.64346,0.27006,0.01541,1.65282,1.18708,-0.16227,1.47914,1.02730,1.33160,-0.20706,-0.96531,-0.01321,-0.15854,13.48610,-0.03532,7.77249
-0.18051,1.21488,-0.65200,-0.61503,0.27424,0.02384,1.43335,1.01875,0.01304,2.40570,-0.32174,0.58837,-0.20351,-0.96658,-0.01793,-0.15486,-9.24366,-10.11851,12.15811
-0.18651,1.21802,-0.65170,-0.57582,0.26535,0.02681,1.09417,0.80701,0.12056,2.47501,-0.83671,-0.07551,-0.19982,-0.96735,-0.01763,-0.15491,-23.95103,-18.03069,10.80630
-0.19228,1.22105,-0.65173,-0.54143,0.25670,0.02371,0.83465,0.71785,0.13927,2.27783,-0.52553,-0.54933,-0.19826,-0.96808,-0.01662,-0.15245,-18.72137,-7.65294,1.61996
-0.19755,1.22407,-0.65217,-0.50561,0.24895,0.01388,0.58918,0.71587,0.10540,1.72820,-0.38433,-0.32639,-0.19794,-0.96886,-0.01376,-0.14814,-13.90371,-0.17701,-0.76097
-0.20330,1.22724,-0.65217,-0.48456,0.24567,0.01424,0.49391,0.73111,0.08379,2.05579,-0.07316,0.46348,-0.19809,-0.96966,-0.01380,-0.14258,-9.39585,2.81480,-2.98811
-0.20832,1.23064,-0.65168,-0.45695,0.24715,0.02282,0.39636,0.66176,0.12832,1.98923,0.30533,0.88771,-0.19624,-0.97046,-0.01385,-0.13967,-8.82759,-4.68742,3.20142
-0.21275,1.23446,-0.65043,-0.42542,0.25450,0.04088,0.37640,0.56367,0.17499,1.97336,0.65167,1.23295,-0.19433,-0.97109,-0.01593,-0.13769,-1.63460,-5.99877,2.68610
-0.21719,1.23851,-0.64899,-0.40060,0.26406,0.05797,0.39296,0.48139,0.21891,1.57847,0.66172,1.11654,-0.19231,-0.97172,-0.01904,-0.13570,0.17138,-7.08649,3.65188
