posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
-0.00425,1.23063,-0.59361,-0.15187,0.14420,-0.05819,-0.46605,0.07841,0.36551,0.20115,0.65843,0.78058,-0.20713,-0.93147,-0.05211,-0.29453,-9.95726,-7.66590,6.88754
-0.00647,1.23363,-0.59322,-0.15039,0.15380,-0.04781,-0.50844,0.02046,0.39281,-0.04079,0.81149,0.40047,-0.20261,-0.93205,-0.04915,-0.29634,-7.43307,-6.56771,5.00564
-0.00878,1.23688,-0.59306,-0.15168,0.17016,-0.03790,-0.34867,0.03910,0.33392,-0.27052,1.02626,0.28165,-0.20183,-0.93242,-0.05015,-0.29553,6.99243,0.06524,-1.97273
-0.01120,1.24042,-0.59281,-0.15403,0.18740,-0.02926,0.00987,0.13733,0.16239,-0.20329,1.31521,0.34216,-0.20648,-0.93241,-0.05581,-0.29131,21.82537,5.92672,-10.21087
-0.01357,1.24438,-0.59255,-0.15601,0.20931,-0.02076,0.42347,0.25094,-0.05707,-0.08916,1.86039,0.75032,-0.21484,-0.93185,-0.06434,-0.28522,30.95779,9.61628,-16.53294
-0.01617,1.24921,-0.59179,-0.16142,0.23887,-0.01176,0.68190,0.27688,-0.15650,-0.48277,2.57642,0.69382,-0.22099,-0.93115,-0.07244,-0.28085,21.69902,3.37905,-10.13174
-0.01907,1.25465,-0.59113,-0.17116,0.27190,-0.00534,0.80127,0.25822,-0.14433,-0.78837,3.14575,0.51207,-0.22415,-0.93074,-0.07955,-0.27777,12.95805,0.11779,-2.47744
-0.02243,1.26119,-0.59074,-0.18667,0.31645,-0.00330,0.78905,0.17372,-0.04047,-1.26226,3.32559,-0.02493,-0.22376,-0.93055,-0.08517,-0.27706,2.14418,-5.48138,6.11723
-0.02632,1.26834,-0.59085,-0.20782,0.36221,-0.00900,0.72887,0.12701,0.08397,-1.64911,3.33195,-0.85734,-0.22165,-0.93089,-0.08962,-0.27621,-4.96707,-6.25868,9.39102
-0.03062,1.27618,-0.59140,-0.23098,0.40882,-0.02070,0.77094,0.15948,0.15683,-1.78994,3.28603,-1.19234,-0.22097,-0.93139,-0.09579,-0.27295,0.20840,0.70018,6.28497
-0.03512,1.28427,-0.59225,-0.25214,0.44853,-0.03223,0.90473,0.24647,0.16323,-1.89627,3.35698,-1.17685,-0.22260,-0.93176,-0.10397,-0.26734,7.44547,5.38693,2.81399
-0.04050,1.29378,-0.59329,-0.28335,0.50326,-0.04497,1.18885,0.37186,0.15993,-2.00573,3.52212,-0.59871,-0.22612,-0.93182,-0.11673,-0.25876,18.34618,9.54232,-1.09461
-0.04624,1.30357,-0.59429,-0.31357,0.55040,-0.05387,1.35211,0.40332,0.19674,-2.28350,3.36423,-0.55235,-0.22789,-0.93161,-0.12870,-0.25221,13.57316,3.19720,2.21470
