posX, posY, posZ, velX, velY, velZ, angVelX, angVelY, angVelZ, accX, accY, accZ, rotX, rotY, rotZ, rotW, angAccX, angAccY, angAccZ
0.19855,1.33249,-0.41285,0.02199,0.05229,-0.03377,0.00230,-0.06990,-0.00382,-1.17115,0.77379,0.23527,0.01831,0.85354,0.07232,0.51566,-1.47467,-3.37171,3.05718
0.19835,1.33373,-0.41349,0.00572,0.06273,-0.03023,0.01440,-0.08307,0.02805,-1.13741,0.67396,0.23852,0.01786,0.85306,0.07285,0.51639,0.18874,-1.85941,2.72317
0.19777,1.33531,-0.41413,-0.01094,0.07333,-0.02626,0.05402,-0.08335,0.02302,-0.99091,0.60266,0.25315,0.01815,0.85254,0.07382,0.51710,1.91588,-0.12252,-0.07267
0.19702,1.33701,-0.41459,-0.02229,0.08066,-0.02301,0.11186,-0.06560,-0.02301,-1.00791,0.53941,0.20665,0.01988,0.85218,0.07501,0.51746,3.26322,0.56024,-2.09200
0.19573,1.33924,-0.41493,-0.03632,0.08982,-0.01789,0.26349,0.01064,-0.11620,-1.07832,0.67399,0.34434,0.02548,0.85245,0.07829,0.51628,9.00732,4.13987,-5.69406
0.19429,1.34108,-0.41490,-0.05283,0.10178,-0.01125,0.46661,0.09762,-0.23278,-1.38834,1.02923,0.52831,0.03335,0.85307,0.08273,0.51411,14.44644,6.79075,-7.96433
0.19247,1.34327,-0.41475,-0.07108,0.11551,-0.00548,0.62060,0.13491,-0.31399,-1.72418,1.34357,0.56248,0.04105,0.85318,0.08732,0.51261,14.34733,4.50171,-7.62854
0.18956,1.34625,-0.41448,-0.10293,0.13829,0.00040,0.78887,0.14052,-0.38451,-2.22552,1.67088,0.24087,0.04970,0.85271,0.09307,0.51163,10.76214,0.44425,-4.96658
0.18612,1.34962,-0.41441,-0.13659,0.16279,0.00162,0.91270,0.14963,-0.40589,-2.53738,1.92098,-0.03225,0.05734,0.85227,0.09913,0.51041,8.98431,0.39722,-1.70330
0.18231,1.35337,-0.41443,-0.16820,0.18731,0.00110,1.06283,0.18160,-0.42596,-2.71339,2.13688,-0.19804,0.06598,0.85194,0.10652,0.50843,9.64769,0.80919,-1.62202
0.17757,1.35800,-0.41443,-0.20733,0.22054,0.00153,1.41297,0.30290,-0.45928,-2.85069,2.40998,-0.17694,0.07903,0.85206,0.11960,0.50343,20.94571,6.00116,-1.76081
0.17189,1.36356,-0.41431,-0.25355,0.26201,0.00384,2.00736,0.57173,-0.54441,-2.91361,2.63788,0.09944,0.09899,0.85298,0.13964,0.49308,36.57719,15.28920,-3.85927
0.16628,1.36915,-0.41415,-0.28800,0.29431,0.00607,2.47823,0.78538,-0.66563,-3.08369,2.60746,0.25525,0.12060,0.85304,0.15912,0.48215,41.19361,17.55306,-6.16241
0.15952,1.37554,-0.41414,-0.33392,0.33310,0.00678,2.99778,0.99361,-0.66193,-4.18225,2.23091,0.39762,0.14231,0.85231,0.18392,0.46849,37.79488,18.75546,-1.54163
0.15185,1.38261,-0.41449,-0.38392,0.37443,0.00105,3.27364,1.22850,-0.65814,-3.22305,3.89091,-0.52365,0.16248,0.85223,0.20515,0.45300,28.86666,9.14700,-6.40205
0.14353,1.39079,-0.41524,-0.43312,0.42369,-0.00973,3.31840,1.32463,-0.61395,-3.91627,3.46555,-0.61819,0.17836,0.85164,0.22262,0.43971,7.09738,9.08343,5.50732
0.13400,1.39943,-0.41627,-0.49107,0.47001,-0.02223,3.31697,1.42457,-0.57655,-4.41165,3.36329,-1.07069,0.19362,0.85102,0.23878,0.42575,-0.83391,4.01943,3.15168
0.12437,1.40804,-0.41729,-0.53553,0.50373,-0.03183,3.32838,1.55759,-0.53434,-4.49546,3.52105,-0.93943,0.20892,0.85058,0.25504,0.40966,2.40930,9.88040,5.48104
0.11178,1.41902,-0.41880,-0.61683,0.56705,-0.04705,3.20742,1.73884,-0.42404,-4.68153,3.63552,-0.57770,0.22078,0.85210,0.26838,0.39135,-4.79796,9.39738,8.42312
0.09908,1.42982,-0.42018,-0.68412,0.61553,-0.05697,2.98479,1.80878,-0.27802,-4.93398,3.44488,-0.43598,0.22895,0.85361,0.27941,0.37531,-11.31444,4.93646,11.94183
0.08646,1.44037,-0.42149,-0.73311,0.64747,-0.06392,2.72318,1.79788,-0.15110,-4.90823,3.08262,-0.41465,0.23490,0.85502,0.28833,0.36143,-19.17062,-0.15193,15.09505
0.07103,1.45244,-0.42311,-0.81466,0.69556,-0.07441,2.24142,1.75815,0.03122,-4.29527,2.29422,-0.69925,0.23467,0.85905,0.29089,0.34978,-27.18496,-5.40514,13.07628
0.05584,1.46406,-0.42449,-0.87740,0.72735,-0.07959,2.05710,1.89077,0.14534,-3.76992,1.63311,-0.50270,0.23917,0.86256,0.29711,0.33244,-13.41945,4.80963,9.96030
0.04068,1.47533,-0.42574,-0.92634,0.74643,-0.08163,2.05065,2.10579,0.19820,-3.41570,1.14720,-0.21800,0.24706,0.86529,0.30551,0.31127,-2.03322,13.53988,6.31923
